[
  "03:15    let's start with just",
  "10:12    fall a little bit so if you add a 2%",
  "10:14    haircut the cash borrow has to put up",
  "10:16    say you know in our example I'm showing",
  "10:18    you here five hundred and ten dollars to",
  "10:21    get five hundred dollars in cash and so",
  "10:22    if the Treasury is dropped by two",
  "10:24    percent tomorrow I'm still covered",
  "10:25    because I've got enough over",
  "10:27    collateralization that I can be me hold",
  "10:29    in the event of default that's what a",
  "10:31    haircut it is and again I have to stress",
  "10:33    this point and I overstated as much as I",
  "10:36    possibly can that liquidity",
  "10:38    characteristics are what matter in the",
  "10:40    repo market so Jeff now there are a",
  "10:44    quick question here I'm guessing the",
  "10:47    haircut is different oh you just",
  "10:49    answered it I was gonna say the the",
  "10:50    rates can't be kind of a fixed thing",
  "10:53    right because we're talking about the",
  "10:54    overnight market in general here the the",
  "10:56    duration of this loan is is a day or so",
  "11:00    right in most cases with these repos",
  "11:03    that's right and you're exactly right",
  "11:05    and I think you know exactly where we're",
  "11:07    going with this because the care cuts",
  "11:09    are going to be different for every",
  "11:10    asset class because again what we care",
  "11:12    about is the liquidity profile of the",
  "11:14    collateral that's being posted so for my",
  "11:16    example here if you're trying to post",
  "11:18    instead of US Treasury some form of",
  "11:20    corporate junk bond or even just a",
  "11:21    corporate bond of even investment grade",
  "11:23    the haircuts going to be a little bit",
  "11:25    higher it's gonna be adjusted based on",
  "11:27    the perceived liquidity profile of the",
  "11:28    collateral that's being added so for you",
  "11:30    know my hypothetical stylized example",
  "11:32    here if you're trying to use junk",
  "11:34    corporates instead of US Treasuries",
  "11:36    let's say the haircuts seven percent",
  "11:38    that means you have to come up with a",
  "11:39    lot more over a collateralization to get",
  "11:41    to to get the the repo transaction to",
  "11:44    take place and again that's because the",
  "11:46    cash lender wants to be completely",
  "11:47    protected in the event of a default a",
  "11:49    corporate junk market those those values",
  "11:52    could could move around quite a bit even",
  "11:54    in an overnight session so that's why",
  "11:57    the haircut will be adjusted so much",
  "11:58    higher because you're protecting",
  "11:59    yourself for what what would the market",
  "12:01    look like tomorrow if I have a default",
  "12:04    and I have to dump the collateral on",
  "12:05    them I have to liquidate the collateral",
  "12:06    to get my cash back so the haircuts",
  "12:09    going to be a reflection upon the",
  "12:10    liquidity characteristics which are also",
  "12:12    taking taken to consideration credit",
  "12:14    characteristics but mostly the liquidity",
  "12:16    characteristics of the collateral that's",
  "12:18    being posted so let's go through a",
  "12:22    realistic example here and again it's a",
  "12:25    stylized example but you know it isn't",
  "12:27    just the repo market doesn't just take",
  "12:29    place where people just show up and post",
  "12:31    collateral and you know money flies back",
  "12:33    and forth there's actually there's a",
  "12:35    pretty sophisticated operation and a lot",
  "12:38    that goes in behind the scenes in terms",
  "12:40    of especially the collateral site I",
  "12:42    think people focus focus way too much on",
  "12:44    what's going on in the cash side when",
  "12:46    really the interesting stuff and really",
  "12:48    the the big dangers are mostly on the",
  "12:50    collateral and that sounds you know",
  "12:52    maybe that's a little bit",
  "12:53    counterintuitive because it seems like",
  "12:55    if you're posting security that's the",
  "12:57    end of the matter because I mean it's a",
  "12:59    securitizer",
  "12:59    or it's a secured loan therefore what do",
  "13:02    we care about the security itself what",
  "13:06    really happens is all sorts of other",
  "13:08    things behind the scenes and often the",
  "13:10    shadows where the collateral maybe isn't",
  "13:13    what it always seemed so let's start",
  "13:15    with the example of a hedge fund that's",
  "13:17    just a that wants to run a portfolio of",
  "13:19    US Treasuries so it has a portfolio of",
  "13:22    just enough US Treasuries that",
  "13:23    balance out with a haircut but it",
  "13:26    doesn't usually go into the repo market",
  "13:27    itself because it's probably not set up",
  "13:29    to do so so what it will do is it will",
  "13:31    contract with a dealer bank who does",
  "13:33    operate in the repo market and it will",
  "13:36    pledge it's five hundred ten dollars and",
  "13:37    20 cents in US Treasuries to the dealer",
  "13:39    bank now what the dealer bank will do is",
  "13:42    custody those Treasuries and perform all",
  "13:44    sorts of custodial operations on behalf",
  "13:46    of the hedge fund but by and large",
  "13:48    oftentimes what happens is the dealer",
  "13:50    bank will offer also offer a better rate",
  "13:53    for funding these this portfolio of",
  "13:55    securities because if the hedge fund",
  "13:58    allows the dealer bank to repledge those",
  "14:00    same securities into the repo market so",
  "14:03    that's what ends up happening a lot of",
  "14:05    cases so you'll have hedge funds running",
  "14:07    portfolios of securities that are",
  "14:09    pledged to a bank who then reap ledges",
  "14:11    the securities whatever they are in our",
  "14:14    case US Treasuries to the repo market to",
  "14:17    secure the cash that the other bank will",
  "14:19    then lend to the hedge fund so already",
  "14:21    we've got a note we've already removed",
  "14:22    the ultimate owner of the securities and",
  "14:25    the collateral one step away from the",
  "14:27    marketplace and in fact this repledge is",
  "14:31    a massive piece of the puzzle just going",
  "14:34    by and I'm showing you here the last ten",
  "14:36    Q or 10k from Morgan Stanley just one of",
  "14:39    the dealer banks and they tell you that",
  "14:41    they had you know more than half a",
  "14:42    trillion half a trillion from one bank",
  "14:44    of Reap ledged collateral that was that",
  "14:47    was used in the repo market that's the",
  "14:48    point of this it's I think it's",
  "14:51    astounding and I think it blows a lot of",
  "14:52    people's minds because again as I said",
  "14:54    you know repo sounds really",
  "14:57    straightforward it all it is is a",
  "14:58    collateralized overnight into your bank",
  "14:59    loan and so there's collateral and",
  "15:01    there's cash and what else is there once",
  "15:03    you find out is that there all these",
  "15:05    different things that are going on where",
  "15:07    the collateral isn't necessarily what it",
  "15:09    seems you know by the way it takes place",
  "15:11    to these massive amounts and huge",
  "15:13    degrees when you talk about one bank and",
  "15:15    half a trillion of collateral being reap",
  "15:17    ledged on behalf of other parties you",
  "15:19    start to get the sense that you know",
  "15:21    maybe there's a lot of stuff going on",
  "15:23    that we maybe we need to pay attention",
  "15:24    about a lot of potential a lot of",
  "15:28    possible failure points and bottlenecks",
  "15:31    that can form and so as these these",
  "15:33    Treasuries are pledged from the hedge",
  "15:36    front to the dealer bank they're now",
  "15:37    possession the dealer Bank who reap",
  "15:39    ledges them into the marketplace we also",
  "15:42    have the possibility of something called",
  "15:44    rehypothecation now this is kind of a",
  "15:46    controversial subject so I'm not going",
  "15:48    to spend too much time on it all over hi",
  "15:50    provocation is is something like double",
  "15:52    dipping so the dealer Bank is using",
  "15:54    those pledged Treasuries on behalf of",
  "15:57    the hedge fund to borrow funds from the",
  "15:59    repo market to fund the hedge funds",
  "16:00    positions what rehypothecation says is",
  "16:04    that they'll also use those treasures to",
  "16:05    fund some of their own activities and so",
  "16:07    they're sort of like recreating or",
  "16:10    creating additional Treasuries out of",
  "16:12    thin air now again it's a controversial",
  "16:15    subject some people claim it doesn't",
  "16:16    happen I tend to believe it happens more",
  "16:18    than people want to think and it was a",
  "16:20    big problem back in 2008 and 2009 but",
  "16:23    again it you know my point being here",
  "16:25    that the collateral side of the system",
  "16:27    has all of these different ways for",
  "16:29    these kinds of things to go on and what",
  "16:31    we're really getting at here is that the",
  "16:33    stock of collateral that's used in the",
  "16:35    repo market is a very complex process",
  "16:38    that the opens the door to all sorts of",
  "16:40    you know functions like multiplication",
  "16:42    so collateral can be expanded the list",
  "16:44    can be expanded this quantity can be",
  "16:46    expanded and it's all based upon these",
  "16:48    financial considerations of the cash",
  "16:49    lender dealer Bank and the ultimate",
  "16:51    users and then it gets even weirder from",
  "16:54    here we're just we're just getting",
  "16:56    warmed up here well let me say let me",
  "16:58    jump in here Jeff just a couple things",
  "17:02    one of the questions it's being asked is",
  "17:05    theoretically this process is leveraging",
  "17:08    collateral right so this seems like a",
  "17:10    derivative of a derivative you know I",
  "17:11    think you put up Morgan Stanley which",
  "17:13    would take the role of the dealer bank",
  "17:15    in this case right Morgan Stanley is",
  "17:17    very large and that's why there's that",
  "17:19    half a trillion plus of reap ledged",
  "17:22    collateral but it sounds like this this",
  "17:27    collateral is kind of being compounded",
  "17:29    in a way and I think you mentioned that",
  "17:31    there may be a you know is it being",
  "17:33    multiplied I mean is this a huge space",
  "17:36    is there a huge space given the the re",
  "17:40    collateralization if there's such a word",
  "17:43    that that would be a huge failure point",
  "17:46    in this system oh yeah absolutely and I",
  "17:49    think that's exactly the right way to",
  "17:50    put it",
  "17:51    multiple multiplier with collateral and",
  "17:54    it sounds weird and it sounds strange",
  "17:56    and whoever asked the question is",
  "17:57    exactly right it sounds like a",
  "17:58    derivative of a derivative and that's",
  "18:00    exactly we're talking about where we",
  "18:02    have collateral that acts like its own",
  "18:03    currency system it's it's own fractional",
  "18:06    multiply for if for lack of a better",
  "18:07    term and then you know it's weirder from",
  "18:11    here",
  "18:11    we've only got we've only scratched the",
  "18:12    surface with with pledging and rhe",
  "18:14    pledging and it's a it's part of the the",
  "18:17    fabric of the modern repo market where",
  "18:19    this is just accepted you know and again",
  "18:22    I didn't want to get into the history",
  "18:23    behind why it's called a repurchase",
  "18:25    agreement but we went through decades",
  "18:27    where it wasn't really we weren't really",
  "18:28    sure who owned the assets that were",
  "18:30    being pledged and realized and it took",
  "18:32    it took many Supreme Court cases to",
  "18:34    finally settle on a standardized repo",
  "18:36    contract where it says you know in our",
  "18:38    example the hedge fund is the ultimate",
  "18:40    owner of the securities even when",
  "18:42    they've been pledged to the dealer Bank",
  "18:43    and the dealer Bank is plug them into",
  "18:44    the repo market which allow this process",
  "18:47    to go sorry isn't this boy this sounds a",
  "18:52    whole lot like those are MBS and those",
  "18:56    kinds of things where these subprime",
  "18:59    loans are being packaged and in sold to",
  "19:01    the sovereign fund Norway and then",
  "19:04    people default on their Alexei Mike it's",
  "19:08    just another way to kind of take",
  "19:11    something and repackage it and make",
  "19:12    money off of it and repackage it again",
  "19:15    and reap you know it's got that sense to",
  "19:19    it or am I kind of missing the point",
  "19:20    here no not at all you've got the point",
  "19:23    exactly in fact the hold that's the",
  "19:24    whole point behind securitization in the",
  "19:26    first place was to create a repo level",
  "19:28    security because we're really talking",
  "19:29    about is funding leveraged what is the",
  "19:31    cheapest form of funding one of the",
  "19:33    things that probably should have gone",
  "19:34    over back at the beginning from look",
  "19:36    from the cash borrower side the reason",
  "19:39    you want to do and on a secured loan",
  "19:40    rather than an unsecured loan is that a",
  "19:42    secured loan is a cheaper loan because",
  "19:45    if you're putting up securities anybody",
  "19:46    knows who borrows using collateral",
  "19:48    you're gonna be giving a better rate",
  "19:50    because it's perceived to be much safer",
  "19:52    from the perspective of the cash lender",
  "19:54    so if you're doing overnight repo it is",
  "19:56    the absolute cheapest form of funding",
  "19:58    imaginable and so if you're getting it",
  "20:00    to you know RMBS and subprime mortgages",
  "20:02    even prime mortgages back during the",
  "20:03    housing bubble era",
  "20:05    that's exactly what was going on",
  "20:06    everybody wanted the maximum amount of",
  "20:08    leverage possible which meant you had to",
  "20:10    create securities in a liquid market for",
  "20:13    those securities so that way they would",
  "20:14    become acceptable repo collateral and",
  "20:17    that's exactly what happened and so our",
  "20:19    example here is sort of a modern update",
  "20:21    of what actually happened in 2007 and",
  "20:24    2008 which was a breakdown in the repo",
  "20:26    collateral side of the repo market and",
  "20:28    unfortunately not a lot was learned from",
  "20:32    episode in a lot of ways we have the",
  "20:35    same faults we have the same potential",
  "20:37    failure points except we're no longer",
  "20:39    talking about you know subprime",
  "20:40    mortgages now we're talking about",
  "20:42    corporates and junk corporate bonds it's",
  "20:44    really kind of the same process because",
  "20:46    you know nobody really you know",
  "20:48    everybody thought 2007-2008 the great",
  "20:50    financial crisis was about subprime",
  "20:53    mortgages when in real life excuse me",
  "20:55    when in reality it was a breakdown of",
  "20:57    the repo market so Jeff when somebody",
  "21:00    defaults on this on this on this",
  "21:03    short-term loan and it went through a",
  "21:06    dealer Bank and him may have gotten",
  "21:08    repackaged one or two or three times",
  "21:10    who's really on the hook here who gets",
  "21:13    hung is it the hedge fund / the supreme",
  "21:17    court case that you had discussed or how",
  "21:20    does that work well it's it it's a it",
  "21:24    all depends on the collateral because",
  "21:26    you know it sounds weird and it sounds",
  "21:29    unnatural to put it frankly but there",
  "21:32    are repo repo defaults that are",
  "21:35    absolutely regular I mean we're talking",
  "21:37    about hundreds of billions of reap where",
  "21:39    to call repo fails that take place every",
  "21:40    week every week it's a natural part of",
  "21:44    the market where the collateral in the",
  "21:45    cash get all mixed up and screwed up so",
  "21:47    that a fail happens when the fail",
  "21:49    happens is simply the cash lender",
  "21:51    doesn't get its cash back or the cash",
  "21:53    borrow or doesn't get its securities",
  "21:55    back and that's it's become a regular",
  "21:57    part of the marketplace and what happens",
  "21:59    is when there's periods of a high degree",
  "22:02    of stress in the repo system larger than",
  "22:04    the collateral side you'll see the level",
  "22:06    of repo fails spike in September and",
  "22:09    October 2008 for example the level of",
  "22:12    repo fails got up into five trillion",
  "22:14    which meant that the collateral system",
  "22:16    is effectively just shut down",
  "22:18    which is one reason why we had such a",
  "22:20    massive worldwide panic because there",
  "22:21    was no collateral available to fund all",
  "22:24    of these risk positions well we'll get",
  "22:26    to that in a minute because we're gonna",
  "22:27    recreate that kind of the process using",
  "22:30    our examples here but your points and it",
  "22:33    really is it's you know we're we're",
  "22:35    still looking at basically the same",
  "22:38    types of failure points in the same ways",
  "22:39    in which the system can fail the same",
  "22:42    potential for bottlenecks very cool okay",
  "22:47    yeah go ahead there are a lot of",
  "22:49    questions I don't even know where to",
  "22:50    start with this because I mean all the",
  "22:52    questions that's being asked okay let's",
  "22:54    look at this haircut okay I need 500",
  "22:57    bucks I need to borrow 500 bucks so I",
  "22:58    pledge either you know junk paper or US",
  "23:05    government paper when I borrow that 500",
  "23:09    bucks for one day let's say just the",
  "23:12    bridge a gap because I have customers",
  "23:14    coming into the bank taking cash out",
  "23:16    when you when this deal is done and now",
  "23:20    I can give you your five hundred dollars",
  "23:22    back do you keep that haircut or do you",
  "23:24    keep a portion of it uh or no you know",
  "23:28    is that a secure there's a haircut there",
  "23:30    for security as you said to cover the",
  "23:32    fluctuation of the paper that I'm",
  "23:34    putting up for collateral but there's a",
  "23:36    fee underlying it and therefore you know",
  "23:38    you need to do trillions of dollars of",
  "23:40    this to really make it a profitable",
  "23:42    venture for a dealer Bank or how does",
  "23:43    that work yeah there's there's like",
  "23:46    three or four questions first I think",
  "23:48    let's let's be clear this modern",
  "23:51    wholesale marketplace no longer has",
  "23:53    anything or really much to do with about",
  "23:54    required reserves that was just the way",
  "23:56    it all got started",
  "23:57    so these modern wholesale markets are",
  "23:59    actually funding mechanisms for",
  "24:01    financial players to fund their",
  "24:03    portfolio positions so in our case it's",
  "24:04    you it's a hedge fund and so what",
  "24:07    happens is because it's an overnight",
  "24:08    transaction what you do is you roll over",
  "24:11    that transaction every day so day after",
  "24:13    day after day after day so we go through",
  "24:14    this dance where tomorrow we unwind our",
  "24:17    transaction and then redo it all over",
  "24:19    again and so you know in some ways it's",
  "24:21    ridiculous but it gives the cash lender",
  "24:24    of the ability to say no I don't want to",
  "24:25    do this anymore and it gives the",
  "24:26    borrower to say you know enough but the",
  "24:29    point about over collateralization is",
  "24:31    really in the case where",
  "24:32    or the the cash borrower defaults on the",
  "24:36    cash and the cash lender wants to be",
  "24:38    completely protected against any loss",
  "24:40    because you're whoever ask the question",
  "24:42    is exactly right the spreads here are",
  "24:44    not massive they're not huge and so",
  "24:46    that's why you see Morgan Stanley you're",
  "24:48    half a trillion and repledge collateral",
  "24:49    because on the cash side because Morgan",
  "24:52    Stanley's also lending cash into the",
  "24:54    repo market they have to do a large",
  "24:56    volume of transactions to make it",
  "24:58    economical and so there are a lot of",
  "25:00    these considerations again we're trying",
  "25:02    to do a very simplistic model so you can",
  "25:04    understand the way that the collateral",
  "25:06    system works in terms of its",
  "25:09    relationship the whole thing okay one",
  "25:13    more of while we're here who has access",
  "25:16    to this market it's any kind of",
  "25:20    sophisticated financial player that runs",
  "25:21    a repo desk so I mean any of the big",
  "25:23    dealer banks some of the hedge funds do",
  "25:26    their own repos we'll get into on our",
  "25:28    own I mean insurance companies money",
  "25:29    market funds money market funds are a",
  "25:31    big cash lender in the repo market in",
  "25:33    fact the probably the largest cash",
  "25:35    lender there's all sorts of these you",
  "25:37    know shadow bank players that that are",
  "25:41    really responsible for how the repo",
  "25:44    market operates and so you know what",
  "25:46    we're going to go through here is just",
  "25:48    again it's a very simple model because",
  "25:50    we're trying to tease out some of these",
  "25:51    these concepts these basic concepts that",
  "25:54    take place in their actual repo market",
  "25:56    and it's it's much more complex than",
  "25:58    making out to be okay so if we go on to",
  "26:03    you know where we left off we had a",
  "26:05    hedge fund that was pledging Treasury",
  "26:07    securities what if we have a hedge fund",
  "26:10    that only has their wants to invest in",
  "26:12    only junk corpus because you know reach",
  "26:14    for yield they want to increase their",
  "26:15    returns but you know they don't want to",
  "26:18    put up the $537 in what would it would",
  "26:21    take for haircuts to go into the repo",
  "26:23    market themselves they can essentially",
  "26:26    contact the dealer bank to transform",
  "26:28    their collateral they're posting into",
  "26:30    the best best possible collateral which",
  "26:33    is US Treasuries so in this situation a",
  "26:36    dealer bank will contract with probably",
  "26:39    an insurance company or a pension fund",
  "26:41    any of the you know the financial",
  "26:43    counterparties out there that have a",
  "26:44    large static pool",
  "26:46    securities that they're not otherwise",
  "26:47    using typically an insurance company and",
  "26:49    they will borrow in this case the",
  "26:51    insurance company will lend us",
  "26:53    Treasuries to the dealer bank who will",
  "26:55    then transform the hedge funds",
  "26:57    collateral so that the Treasuries are",
  "26:59    ended up what getting reap ledged into",
  "27:02    the repo market so from the perspective",
  "27:04    of the repo market it's accepting US",
  "27:07    Treasuries as collateral when in fact",
  "27:08    the basis for the trade is the junk",
  "27:10    bonds held by the hedge fund so the",
  "27:13    dealer bank is transforming junk",
  "27:15    collateral into pristine collateral for",
  "27:17    a fee and it's going to be charged a fee",
  "27:19    and some of that fee will be paid to the",
  "27:20    insurance company for the privilege of",
  "27:22    lending these securities but again you",
  "27:25    can see that what we're getting at here",
  "27:26    is there are all of these different ways",
  "27:28    for the collateral side of the repo",
  "27:30    market to not be what it's so simple and",
  "27:32    easy to understand and again that's",
  "27:35    another way that we can get into trouble",
  "27:36    with all of these possible failure",
  "27:39    points and so a more realistic example",
  "27:42    of the market might be a hedge fund that",
  "27:45    runs repo itself so let's let's first",
  "27:49    simplicity sake let's say half of its",
  "27:51    junk bond positions are repo directly",
  "27:53    into the repo market and the other half",
  "27:55    are transformed into the US Treasury",
  "27:58    collateral using the dealer Bank and",
  "28:00    collateral transformation under",
  "28:01    securities lending business and so let's",
  "28:05    let's let's go back a couple weeks back",
  "28:07    into early march when we started to see",
  "28:09    credit spreads rise again remember what",
  "28:10    I said at the beginning all the repo",
  "28:13    market the cash lender cares about is",
  "28:15    the liquidity characteristics of the",
  "28:18    securities being posted to them as",
  "28:20    collateral for the overnight interbank",
  "28:22    loan so if there's any question about",
  "28:25    the market for junk bonds or even US",
  "28:27    Treasuries as we'll see in a minute the",
  "28:29    haircuts are going to be adjusted so if",
  "28:32    we get into a situation where you know",
  "28:34    corporate bond even not even just junk",
  "28:36    bonds but investment grade corporate",
  "28:37    bonds are selling off pretty violently",
  "28:39    the the repo market the cash lenders",
  "28:42    might decide if they need a bigger",
  "28:43    haircut on the junk bonds that are being",
  "28:46    posted so you're a hedge fund you've got",
  "28:48    your five hundred and thirty seven",
  "28:49    dollars in junk you you you do the repo",
  "28:52    today and then tomorrow when you go to",
  "28:54    roll over the overnight repo loan the",
  "28:57    cash lender and the other side says I'm",
  "28:59    not",
  "28:59    for a 7% haircut I now want 12% the",
  "29:03    reason I want 12% is because the market",
  "29:04    has moved a lot it's in some place this",
  "29:07    is becoming illiquid so I need to be",
  "29:09    really assured that I can sell your junk",
  "29:12    bonds onto the market in case you happen",
  "29:13    to default no by the way the fact that",
  "29:15    you're holding a lot of junk bonds in",
  "29:17    your portfolio makes me even more",
  "29:18    nervous that you are going to default so",
  "29:21    as the haircuts are adjusted it's the",
  "29:23    same thing as a margin call but in the",
  "29:25    case in this case is a collateral call",
  "29:26    so on half of its portfolio the hedge",
  "29:30    fund now has to put up another 30 some",
  "29:32    dollars in collateral just to do the",
  "29:35    same $500 trade it did the day before",
  "29:37    Wow and if if the if the hedge fund",
  "29:41    doesn't have that collateral what does",
  "29:43    it do well it might go through the the",
  "29:45    other channel which is through the",
  "29:47    transformation which means it'll",
  "29:49    increase the amount of it depends upon",
  "29:51    the dealer Bank for collateral",
  "29:52    transformation which also depends upon",
  "29:55    the insurance company being willing to",
  "29:57    lend US Treasuries to the dealer bank",
  "29:59    and usually in that situation what",
  "30:02    happens is the haircuts applied in the",
  "30:05    transformation to because the dealer",
  "30:06    bank isn't stupid either and it",
  "30:08    understands the risks of what's going on",
  "30:09    in the corporate junk and junk our",
  "30:11    market so you have haircuts adjusted on",
  "30:14    the collateral transformation in",
